bikeid,Left ,Right
SEA00290,SEA,00290
SEA00316,SEA,00316
SEA00362,SEA,00362
SEA00318,SEA,00318
SEA00240,SEA,00240
SEA00124,SEA,00124
SEA00361,SEA,00361
SEA00459,SEA,00459
SEA00354,SEA,00354
SEA00161,SEA,00161
SEA00489,SEA,00489
SEA00289,SEA,00289
SEA00329,SEA,00329
SEA00226,SEA,00226
SEA00064,SEA,00064
SEA00064,SEA,00064
SEA00035,SEA,00035
SEA00151,SEA,00151
SEA00096,SEA,00096
SEA00035,SEA,00035
SEA00213,SEA,00213
SEA00485,SEA,00485
SEA00354,SEA,00354
SEA00403,SEA,00403
SEA00430,SEA,00430
SEA00266,SEA,00266
SEA00328,SEA,00328
SEA00300,SEA,00300
SEA00254,SEA,00254
SEA00059,SEA,00059
SEA00239,SEA,00239
SEA00233,SEA,00233
SEA00462,SEA,00462
SEA00275,SEA,00275
SEA00485,SEA,00485
SEA00136,SEA,00136
SEA00084,SEA,00084
SEA00030,SEA,00030
SEA00029,SEA,00029
SEA00024,SEA,00024
SEA00247,SEA,00247
SEA00062,SEA,00062
SEA00065,SEA,00065
SEA00160,SEA,00160
SEA00452,SEA,00452
SEA00132,SEA,00132
SEA00253,SEA,00253
SEA00243,SEA,00243
SEA00368,SEA,00368
SEA00462,SEA,00462
SEA00073,SEA,00073
SEA00221,SEA,00221
SEA00300,SEA,00300
SEA00492,SEA,00492
SEA00204,SEA,00204
SEA00024,SEA,00024
SEA00054,SEA,00054
SEA00292,SEA,00292
SEA00437,SEA,00437
SEA00351,SEA,00351
SEA00233,SEA,00233
SEA00101,SEA,00101
SEA00333,SEA,00333
SEA00467,SEA,00467
SEA00056,SEA,00056
SEA00177,SEA,00177
SEA00374,SEA,00374
SEA00431,SEA,00431
SEA00327,SEA,00327
SEA00055,SEA,00055
SEA00266,SEA,00266
SEA00383,SEA,00383
SEA00476,SEA,00476
SEA00296,SEA,00296
SEA00166,SEA,00166
SEA00379,SEA,00379
SEA00228,SEA,00228
SEA00481,SEA,00481
SEA00277,SEA,00277
SEA00140,SEA,00140
SEA00370,SEA,00370
SEA00156,SEA,00156
SEA00160,SEA,00160
SEA00246,SEA,00246
SEA00133,SEA,00133
SEA00398,SEA,00398
SEA00147,SEA,00147
SEA00061,SEA,00061
SEA00414,SEA,00414
SEA00411,SEA,00411
SEA00285,SEA,00285
SEA00255,SEA,00255
SEA00361,SEA,00361
SEA00135,SEA,00135
SEA00360,SEA,00360
SEA00482,SEA,00482
SEA00239,SEA,00239
SEA00382,SEA,00382
SEA00437,SEA,00437
SEA00046,SEA,00046
SEA00460,SEA,00460
SEA00175,SEA,00175
SEA00277,SEA,00277
SEA00293,SEA,00293
SEA00167,SEA,00167
SEA00427,SEA,00427
SEA00072,SEA,00072
SEA00442,SEA,00442
SEA00390,SEA,00390
SEA00308,SEA,00308
SEA00241,SEA,00241
SEA00026,SEA,00026
SEA00346,SEA,00346
SEA00461,SEA,00461
SEA00259,SEA,00259
SEA00495,SEA,00495
SEA00224,SEA,00224
SEA00341,SEA,00341
SEA00478,SEA,00478
SEA00147,SEA,00147
SEA00186,SEA,00186
SEA00476,SEA,00476
SEA00261,SEA,00261
SEA00475,SEA,00475
SEA00030,SEA,00030
SEA00481,SEA,00481
SEA00041,SEA,00041
SEA00218,SEA,00218
SEA00031,SEA,00031
SEA00026,SEA,00026
SEA00280,SEA,00280
SEA00184,SEA,00184
SEA00090,SEA,00090
SEA00482,SEA,00482
SEA00203,SEA,00203
SEA00273,SEA,00273
SEA00465,SEA,00465
SEA00117,SEA,00117
SEA00281,SEA,00281
SEA00382,SEA,00382
SEA00166,SEA,00166
SEA00241,SEA,00241
SEA00491,SEA,00491
SEA00257,SEA,00257
SEA00431,SEA,00431
SEA00418,SEA,00418
SEA00208,SEA,00208
SEA00327,SEA,00327
SEA00051,SEA,00051
SEA00207,SEA,00207
SEA00133,SEA,00133
SEA00131,SEA,00131
SEA00351,SEA,00351
SEA00246,SEA,00246
SEA00252,SEA,00252
SEA00087,SEA,00087
SEA00498,SEA,00498
SEA00326,SEA,00326
SEA00026,SEA,00026
SEA00110,SEA,00110
SEA00091,SEA,00091
SEA00341,SEA,00341
SEA00416,SEA,00416
SEA00181,SEA,00181
SEA00310,SEA,00310
SEA00285,SEA,00285
SEA00032,SEA,00032
SEA00471,SEA,00471
SEA00498,SEA,00498
SEA00234,SEA,00234
SEA00178,SEA,00178
SEA00047,SEA,00047
SEA00192,SEA,00192
SEA00182,SEA,00182
SEA00122,SEA,00122
SEA00100,SEA,00100
SEA00113,SEA,00113
SEA00428,SEA,00428
SEA00278,SEA,00278
SEA00492,SEA,00492
SEA00433,SEA,00433
