trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,Numbers,Characters
138477,9/2/2015 7:55,9/2/2015 8:02,SEA00042,426.242,Eastlake Ave E & E Allison St,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,EL-05,UW-10,Annual Member,Male,1975,05,EL
20670,12/11/2014 16:33,12/11/2014 16:39,SEA00384,326.358,Harvard Ave & E Pine St,E Harrison St & Broadway Ave E,CH-09,CH-02,Annual Member,Male,1986,09,CH
72812,5/13/2015 10:20,5/13/2015 10:23,SEA00456,202.169,NE 47th St & 12th Ave NE,Burke Museum / E Stevens Way NE & Memorial Way NE,UD-07,UW-02,Annual Member,Male,1994,07,UD
105547,7/9/2015 13:12,7/9/2015 13:21,SEA00455,520.962,2nd Ave & Pine St,2nd Ave & Vine St,CBD-13,BT-03,Annual Member,Male,1985,13,CB
55801,4/8/2015 17:34,4/8/2015 17:46,SEA00027,700.489,9th Ave N & Mercer St,3rd Ave & Broad St,DPD-01,BT-01,Annual Member,Male,1984,01,DP
120492,8/1/2015 16:34,8/1/2015 16:51,SEA00051,1019.39,Lake Union Park / Valley St & Boren Ave N,2nd Ave & Vine St,SLU-17,BT-03,Short-Term Pass Holder,NULL,NULL,17,SL
51637,3/28/2015 15:15,3/28/2015 16:26,SEA00051,4277.593,12th Ave & NE Campus Pkwy,15th Ave NE & NE 40th St,UD-04,UW-04,Short-Term Pass Holder,NULL,NULL,04,UD
150325,9/27/2015 14:17,9/27/2015 14:41,SEA00327,1452.144,Republican St & Westlake Ave N,E Blaine St & Fairview Ave E,SLU-04,EL-03,Short-Term Pass Holder,NULL,NULL,04,SL
154372,10/5/2015 20:14,10/5/2015 20:18,SEA00022,244.406,Cal Anderson Park / 11th Ave & Pine St,Seattle University / E Columbia St & 12th Ave,CH-08,FH-04,Annual Member,Male,1978,08,CH
118692,7/29/2015 19:23,7/29/2015 19:28,SEA00281,316.278,Harvard Ave & E Pine St,Summit Ave E & E Republican St,CH-09,CH-03,Annual Member,Female,1991,09,CH
46001,3/11/2015 18:56,3/11/2015 19:08,SEA00321,704.242,E Harrison St & Broadway Ave E,E Pine St & 16th Ave,CH-02,CH-07,Annual Member,Female,1972,02,CH
38945,2/19/2015 9:25,2/19/2015 15:41,SEA00401,22548.589,NE 47th St & 12th Ave NE,Republican St & Westlake Ave N,UD-07,SLU-04,Annual Member,Male,1987,07,UD
31209,1/25/2015 14:25,1/25/2015 14:32,SEA00178,403.798,Summit Ave E & E Republican St,7th Ave & Union St,CH-03,CBD-03,Annual Member,Male,1975,03,CH
19681,12/7/2014 10:36,12/7/2014 10:39,SEA00323,211.509,15th Ave E & E Thomas St,E Pine St & 16th Ave,CH-05,CH-07,Annual Member,Male,1986,05,CH
126246,8/10/2015 16:39,8/10/2015 17:47,SEA00422,4116.178,Bellevue Ave & E Pine St,Pier 69 / Alaskan Way & Clay St,CH-12,WF-01,Short-Term Pass Holder,NULL,NULL,12,CH
32094,1/28/2015 8:24,1/28/2015 8:28,SEA00151,277.527,Cal Anderson Park / 11th Ave & Pine St,Pine St & 9th Ave,CH-08,SLU-16,Annual Member,Male,1982,08,CH
18134,12/1/2014 9:52,12/1/2014 10:03,SEA00072,689.802,REI / Yale Ave N & John St,Dexter Ave N & Aloha St,SLU-01,SLU-02,Annual Member,Male,1979,01,SL
130559,8/17/2015 20:22,8/17/2015 20:28,SEA00027,375.723,2nd Ave & Vine St,Key Arena / 1st Ave N & Harrison St,BT-03,SLU-19,Short-Term Pass Holder,NULL,NULL,03,BT
139027,9/3/2015 9:33,9/3/2015 9:41,SEA00356,492.813,Key Arena / 1st Ave N & Harrison St,Westlake Ave & 6th Ave,SLU-19,SLU-15,Annual Member,Male,1988,19,SL
64754,4/26/2015 20:44,4/26/2015 20:50,SEA00301,396.798,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1st Ave & Marion St,PS-05,CBD-05,Annual Member,Male,1991,05,PS
52916,4/1/2015 9:53,4/1/2015 10:01,SEA00171,477.469,2nd Ave & Vine St,Republican St & Westlake Ave N,BT-03,SLU-04,Annual Member,Male,1988,03,BT
133665,8/23/2015 6:16,8/23/2015 7:14,SEA00212,3492.263,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,NULL,NULL,01,WF
139111,9/3/2015 13:21,9/3/2015 13:54,SEA00145,2007.843,2nd Ave & Spring St,Pier 69 / Alaskan Way & Clay St,CBD-06,WF-01,Short-Term Pass Holder,NULL,NULL,06,CB
26012,1/6/2015 14:40,1/6/2015 14:48,SEA00139,488.874,E Harrison St & Broadway Ave E,Summit Ave E & E Republican St,CH-02,CH-03,Annual Member,Male,1991,02,CH
93932,6/20/2015 9:39,6/20/2015 10:13,SEA00172,2070.256,Burke Museum / E Stevens Way NE & Memorial Way NE,Burke Museum / E Stevens Way NE & Memorial Way NE,UW-02,UW-02,Short-Term Pass Holder,NULL,NULL,02,UW
104004,7/7/2015 7:50,7/7/2015 8:04,SEA00058,837.461,12th Ave & E Mercer St,Occidental Park / Occidental Ave S & S Washington St,CH-15,PS-04,Annual Member,Male,1987,15,CH
36645,2/13/2015 14:17,2/13/2015 14:23,SEA00411,364.839,2nd Ave & Vine St,2nd Ave & Pine St,BT-03,CBD-13,Annual Member,Female,1960,03,BT
17325,11/26/2014 14:34,11/26/2014 14:47,SEA00330,798.192,Pier 69 / Alaskan Way & Clay St,2nd Ave & Blanchard St,WF-01,BT-05,Short-Term Pass Holder,NULL,NULL,01,WF
138487,9/2/2015 8:08,9/2/2015 8:13,SEA00122,298.854,6th Ave & Blanchard St,Terry Ave & Stewart St,BT-04,SLU-20,Annual Member,Male,1988,04,BT
131889,8/19/2015 23:31,8/19/2015 23:38,SEA00072,443.659,2nd Ave & Pine St,3rd Ave & Broad St,CBD-13,BT-01,Annual Member,Male,1985,13,CB
121954,8/3/2015 20:42,8/3/2015 20:48,SEA00309,392.623,Harvard Ave & E Pine St,Seattle University / E Columbia St & 12th Ave,CH-09,FH-04,Annual Member,Male,1959,09,CH
48216,3/18/2015 20:52,3/18/2015 21:03,SEA00468,660.918,Westlake Ave & 6th Ave,9th Ave N & Mercer St,SLU-15,DPD-01,Short-Term Pass Holder,NULL,NULL,15,SL
70470,5/9/2015 0:10,5/9/2015 0:35,SEA00352,1513.34,2nd Ave & Blanchard St,REI / Yale Ave N & John St,BT-05,SLU-01,Short-Term Pass Holder,NULL,NULL,05,BT
79095,5/25/2015 15:15,5/25/2015 15:50,SEA00243,2089.167,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UD-01,UD-01,Short-Term Pass Holder,NULL,NULL,01,UD
26545,1/8/2015 8:04,1/8/2015 8:23,SEA00393,1121.271,Frye Art Museum / Terry Ave & Columbia St,Pier 69 / Alaskan Way & Clay St,FH-01,WF-01,Annual Member,Male,1979,01,FH
4680,10/21/2014 18:05,10/21/2014 18:26,SEA00280,1244.652,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Annual Member,Male,1989,01,WF
10072,11/5/2014 17:01,11/5/2014 17:12,SEA00492,663.688,Westlake Ave & 6th Ave,2nd Ave & Vine St,SLU-15,BT-03,Annual Member,Male,1979,15,SL
