trip_id,starttime,,stoptime,,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,Year,Month,Quarter,Hour
51452,3/27/2015 22:39,,3/27/2015 22:42,,SEA00191,180.37,9th Ave N & Mercer St,PATH / 9th Ave & Westlake Ave,DPD-01,SLU-07,Annual Member,Male,1991,2015,3,1,22
47862,3/18/2015 4:01,,3/18/2015 4:19,,SEA00121,1093.864,Key Arena / 1st Ave N & Harrison St,City Hall / 4th Ave & James St,SLU-19,CBD-07,Annual Member,Male,1962,2015,3,1,4
94488,6/20/2015 23:23,,6/21/2015 0:26,,SEA00381,3740.351,3rd Ave & Broad St,3rd Ave & Broad St,BT-01,BT-01,Short-Term Pass Holder,NULL,NULL,2015,6,2,23
140848,9/7/2015 15:08,,9/7/2015 15:26,,SEA00329,1095.484,2nd Ave & Pine St,3rd Ave & Broad St,CBD-13,BT-01,Short-Term Pass Holder,NULL,NULL,2015,9,3,15
120549,8/1/2015 17:43,,8/1/2015 18:03,,SEA00400,1199.186,3rd Ave & Broad St,9th Ave N & Mercer St,BT-01,DPD-01,Short-Term Pass Holder,NULL,NULL,2015,8,3,17
73364,5/14/2015 17:25,,5/14/2015 17:44,,SEA00197,1122.006,UW Engineering Library / E Stevens Way NE & Jefferson Rd,Eastlake Ave E & E Allison St,UW-06,EL-05,Short-Term Pass Holder,NULL,NULL,2015,5,2,17
63068,4/22/2015 17:53,,4/22/2015 18:03,,SEA00353,590.868,Pier 69 / Alaskan Way & Clay St,Occidental Park / Occidental Ave S & S Washington St,WF-01,PS-04,Annual Member,Male,1989,2015,4,2,17
93789,6/19/2015 17:45,,6/19/2015 18:07,,SEA00048,1348.091,9th Ave N & Mercer St,NE 47th St & 12th Ave NE,DPD-01,UD-07,Annual Member,Male,1987,2015,6,2,17
3561,10/19/2014 14:54,,10/19/2014 15:01,,SEA00422,383.294,E Harrison St & Broadway Ave E,7th Ave & Union St,CH-02,CBD-03,Short-Term Pass Holder,NULL,NULL,2014,10,4,14
109609,7/15/2015 16:10,,7/15/2015 18:08,,SEA00081,7086.899,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL,2015,7,3,16
57694,4/14/2015 12:44,,4/14/2015 12:47,,SEA00122,178.692,E Harrison St & Broadway Ave E,Summit Ave & E Denny Way,CH-02,CH-01,Annual Member,Female,1989,2015,4,2,12
126456,8/10/2015 20:21,,8/10/2015 20:44,,SEA00119,1417.046,NE 47th St & 12th Ave NE,NE 47th St & 12th Ave NE,UD-07,UD-07,Annual Member,Male,1951,2015,8,3,20
128094,8/13/2015 15:14,,8/13/2015 18:20,,SEA00183,11116.937,Lake Union Park / Valley St & Boren Ave N,Dexter Ave N & Aloha St,SLU-17,SLU-02,Short-Term Pass Holder,NULL,NULL,2015,8,3,15
134757,8/24/2015 20:52,,8/24/2015 20:56,,SEA00221,242.836,Harvard Ave & E Pine St,12th Ave & E Denny Way,CH-09,CH-06,Annual Member,Male,1986,2015,8,3,20
31395,1/26/2015 7:51,,1/26/2015 7:56,,SEA00087,305.09,2nd Ave & Blanchard St,PATH / 9th Ave & Westlake Ave,BT-05,SLU-07,Annual Member,Male,1967,2015,1,1,7
108489,7/13/2015 21:47,,7/13/2015 21:51,,SEA00396,196.762,Cal Anderson Park / 11th Ave & Pine St,Bellevue Ave & E Pine St,CH-08,CH-12,Annual Member,Female,1992,2015,7,3,21
