loc,number,disease,increase,year,population
ALABAMA,8843,MEASLES,334.99,1928,2640000
ARIZONA,847,MEASLES,200.75,1928,422000
ARKANSAS,8899,MEASLES,481.77,1928,1847000
CALIFORNIA,3698,MEASLES,69.22,1928,5344000
COLORADO,2099,MEASLES,206.98,1928,1014000
CONNECTICUT,10014,MEASLES,634.95,1928,1577000
DELAWARE,597,MEASLES,256.02,1928,233000
DISTRICT OF COLUMBIA,2566,MEASLES,535.63,1928,479000
FLORIDA,1714,MEASLES,119.58,1928,1433000
GEORGIA,4637,MEASLES,159.73,1928,2903000
IDAHO,88,MEASLES,19.59,1928,449000
ILLINOIS,7444,MEASLES,98.24,1928,7576000
INDIANA,8470,MEASLES,263.67,1928,3212000
IOWA,702,MEASLES,28.63,1928,2450000
KANSAS,2533,MEASLES,136.92,1928,1850000
KENTUCKY,5551,MEASLES,216.26,1928,2567000
LOUISIANA,5373,MEASLES,260.33,1928,2064000
MAINE,3204,MEASLES,401.96,1928,797000
MARYLAND,17539,MEASLES,1089.39,1928,1610000
MASSACHUSETTS,41371,MEASLES,981.06,1928,4217000
MICHIGAN,25544,MEASLES,547.55,1928,4665000
MINNESOTA,2052,MEASLES,79.13,1928,2592000
MISSISSIPPI,0,MEASLES,0,1928,1981000
MISSOURI,7154,MEASLES,198.63,1928,3601000
MONTANA,757,MEASLES,139.86,1928,541000
NEBRASKA,1083,MEASLES,78.95,1928,1371000
NEW HAMPSHIRE,1274,MEASLES,272.15,1928,468000
NEW JERSEY,31631,MEASLES,797.14,1928,3968000
NEW MEXICO,2760,MEASLES,663.41,1928,416000
NEW YORK,75391,MEASLES,649.97,1928,11599000
NORTH CAROLINA,56207,MEASLES,1823.69,1928,3082000
NORTH DAKOTA,371,MEASLES,55.73,1928,665000
OHIO,23522,MEASLES,355.92,1928,6608000
OKLAHOMA,6298,MEASLES,268.71,1928,2344000
OREGON,2089,MEASLES,223.09,1928,936000
PENNSYLVANIA,57237,MEASLES,583.95,1928,9802000
RHODE ISLAND,4986,MEASLES,735.32,1928,678000
SOUTH CAROLINA,19798,MEASLES,1138.49,1928,1739000
SOUTH DAKOTA,1097,MEASLES,160.16,1928,685000
TENNESSEE,8276,MEASLES,315.43,1928,2624000
TEXAS,5524,MEASLES,97.35,1928,5675000
UTAH,85,MEASLES,16.83,1928,504000
VERMONT,1199,MEASLES,334.8,1928,358000
